0.493 pkt: 181 | sent
0.494 ACK: 150 | received
0.494 pkt: 182 | sent
0.496 ACK: 151 | received
0.496 pkt: 183 | sent
0.496 ACK: 152 | received
0.496 pkt: 184 | sent
0.498 ACK: 153 | received
0.500 pkt: 185 | sent
0.500 ACK: 154 | received
0.501 pkt: 186 | sent
0.501 ACK: 155 | received
0.501 pkt: 187 | sent
0.501 ACK: 156 | received
0.501 pkt: 188 | sent
0.504 ACK: 157 | received
0.505 pkt: 189 | sent
0.505 ACK: 158 | received
0.505 pkt: 190 | sent
0.505 ACK: 159 | received
0.505 pkt: 191 | sent
0.506 ACK: 160 | received
0.506 pkt: 192 | sent
0.506 ACK: 161 | received
0.506 pkt: 193 | sent
0.510 ACK: 162 | received
0.511 pkt: 194 | sent
0.511 ACK: 163 | received
0.511 pkt: 195 | sent
0.512 ACK: 164 | received
0.513 pkt: 196 | sent
0.513 ACK: 164 | received
0.513 ACK: 164 | received
0.514 pkt: 164 | 3 duplicated ACKs
0.514 pkt: 165 | retransmitted
0.515 ACK: 164 | received
0.515 ACK: 164 | received
0.516 pkt: 164 | 3 duplicated ACKs
0.516 pkt: 165 | retransmitted
0.516 ACK: 164 | received
0.518 ACK: 164 | received
0.518 pkt: 164 | 3 duplicated ACKs
0.518 pkt: 165 | retransmitted
0.519 ACK: 164 | received
0.521 ACK: 164 | received
0.521 pkt: 164 | 3 duplicated ACKs
0.521 pkt: 165 | retransmitted
0.521 ACK: 164 | received
0.523 ACK: 164 | received
0.523 pkt: 164 | 3 duplicated ACKs
0.523 pkt: 165 | retransmitted
0.523 ACK: 164 | received
0.524 ACK: 164 | received
0.524 pkt: 164 | 3 duplicated ACKs
0.524 pkt: 165 | retransmitted
0.526 ACK: 164 | received
0.528 ACK: 164 | received
0.528 pkt: 164 | 3 duplicated ACKs
0.528 pkt: 165 | retransmitted
0.528 ACK: 164 | received
0.529 ACK: 164 | received
0.529 pkt: 164 | 3 duplicated ACKs
0.529 pkt: 165 | retransmitted
0.530 ACK: 164 | received
0.531 ACK: 164 | received
0.531 pkt: 164 | 3 duplicated ACKs
0.531 pkt: 165 | retransmitted
0.532 ACK: 164 | received
0.533 ACK: 164 | received
0.534 pkt: 164 | 3 duplicated ACKs
